Date,Time,Year,Manufacturer,Contributory Factors,Phase of Flight,Crash Location,Departure,Destination,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
8/8/1951,2100,1951,,"Weather Related, Takeoff/Landing Incident",Takeoff/Initial Climb,"Barilla Bay, Australia",Hobart Melbourne,,2,0,2,2,0,2,0
8/11/1951,925,1951,Douglas/McDonnell Douglas,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I)",Other/Unknown,"Moisville, France",Training,,5,0,5,5,0,5,0
8/17/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Ubatuba, Brazil",,,10,,,10,,,0
9/8/1951,1900,1951,Douglas/McDonnell Douglas,Mechanical/System Failure,On Ground,"Sao Paulo, Brazil",Sao Paulo,Rio de Janeiro,13,9,4,13,9,4,3
9/12/1951,1230,1951,Douglas/McDonnell Douglas,"Weather Related, Mechanical/System Failure",Other/Unknown,"Off Ialas Baeares, Spain",Perpignan,Oran,39,36,3,39,36,3,0
9/12/1951,1146,1951,Boeing,"Mechanical/System Failure, Loss of Control In-Flight (LOC-I)",En route/Cruise,"Off Redwood City, California",San Francisco,Oakland,3,0,3,3,0,3,0
9/15/1951,,1951,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),Other/Unknown,"Bangalore, India",Bangalore,Trivandrum,28,24,4,22,21,1,0
9/29/1951,,1951,Other,Takeoff/Landing Incident,Takeoff/Initial Climb,"La Paz, Bolivia",,,27,24,3,27,24,3,0
10/8/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Cerro Blanco, Mexico",Mexico City,MinatitlÃ¡n,8,5,3,8,5,3,0
10/15/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"East Griqualand, South Africa",Port Elizabeth,Durbin,17,13,4,17,13,4,0
10/17/1951,1855,1951,Other,Weather Related,Other/Unknown,"Mt. Benson, BC, Canada",Kildala,Vancouver,23,20,3,23,20,3,0
10/22/1951,,1951,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Skopje, Yugoslavia",Belgrad,Skopje,12,9,3,12,9,3,0
11/15/1951,900,1951,Other,Other/Undetermined,Other/Unknown,"Near Lodz, Poland",Lodz,Krakow,18,14,4,18,14,4,0
11/17/1951,1623,1951,Ilyushin,Other/Undetermined,Other/Unknown,"Near  Novosibirsk, Russia",Novosibirsk,Moscow,23,19,4,23,19,4,0
11/19/1951,,1951,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Cairo, Egypt",Ankara,Cairo,5,4,1,5,4,1,0
11/21/1951,745,1951,Douglas/McDonnell Douglas,"Weather Related, Collision",Landing/Approach,"Calcutta, India",Nagpur,Calcutta,17,13,4,16,12,4,0
11/24/1951,600,1951,Douglas/McDonnell Douglas,Other/Undetermined,Landing/Approach,"Zurich, Switzerland",Tel Aviv,Rome,7,0,7,6,0,6,0
11/27/1951,,1951,Other,Other/Undetermined,Takeoff/Initial Climb,"San Luis Acatlan, Mexico",San Luis AcatlÃ¡n,Acapulco,21,18,3,13,11,2,0
12/4/1951,725,1951,Douglas/McDonnell Douglas,Loss of Control In-Flight (LOC-I),En route/Cruise,"Denver, Colorado",Training,,3,0,3,3,0,3,0
12/13/1951,,1951,Bombardier/De Havilland,"Pilot/Human Error, Collision",Other/Unknown,"Yaramunda, Papua, New Guinea",Mount Hagen,Madang,3,2,1,3,2,1,0
12/27/1951,426,1951,Other,Other/Undetermined,Other/Unknown,"Near Namtso, Russia",Yakutsk,Vilyuisk,20,14,6,20,14,6,0
12/29/1951,2225,1951,Other,"Weather Related, Mechanical/System Failure",En route/Cruise,"Near Little Valley, New York",Miami,Pittsburgh,40,36,4,26,23,3,0
12/30/1951,2207,1951,Other,Other/Undetermined,Landing/Approach,"Near Fairbanks, Alaska",Point Barrow,Umiat,4,2,2,4,2,2,0
12/31/1951,,1951,Douglas/McDonnell Douglas,"Takeoff/Landing Incident, Collision",Takeoff/Initial Climb,"Calcutta, India",,,3,0,3,3,0,3,0
1/2/1952,,1952,Other,Other/Undetermined,Unknown,"Andapa, Madagascar",,,11,8,3,6,,,0
1/10/1952,1915,1952,Douglas/McDonnell Douglas,"Weather Related, Loss of Control In-Flight (LOC-I)",Other/Unknown,"Com Edno, Ireland",Northolt,Dublin,23,20,3,23,20,3,0
1/19/1952,138,1952,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Off Sandspit, BC, Canada",Tokyo,Elmendorf AFB,43,40,3,36,33,3,0
1/22/1952,1543,1952,Other,Other/Undetermined,Landing/Approach,"Elizabeth, New Jersey",Buffalo,Newark,23,20,3,23,20,3,7
2/4/1952,,1952,Douglas/McDonnell Douglas,"Pilot/Human Error, Mechanical/System Failure",Other/Unknown,"Kikwit, Belgian Congo",Costermansville,Leopoldville,15,11,4,15,11,4,0
2/11/1952,20,1952,Douglas/McDonnell Douglas,Mechanical/System Failure,En route/Cruise,"Elizabeth, New Jersey","Newark, NJ","Miami, FL",63,59,4,29,26,3,4
2/16/1952,1734,1952,Other,Weather Related,En route/Cruise,"Near Burgio, Italy",Nice,Malta,31,26,5,31,26,5,0
2/19/1952,223,1952,Douglas/McDonnell Douglas,"Pilot/Human Error, Collision",Landing/Approach,"Nagpur, India",Madras,Nagpur,16,12,4,3,1,2,0
2/19/1952,,1952,Other,Other/Undetermined,Unknown,"Near Yaounde, Cameroon",,,9,5,4,9,5,4,0
2/28/1952,,1952,Douglas/McDonnell Douglas,"Pilot/Human Error, Takeoff/Landing Incident, Collision",Landing/Approach,"Uberlandia,  Brazil",Rio de Janeiro,Guiana,8,6,2,8,6,2,0
3/3/1952,810,1952,Other,Mechanical/System Failure,Other/Unknown,"Nice, France",Nice,Paris,38,34,4,38,34,4,0
3/10/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Cebu, Philippines",Cebu,Hoilo,3,0,3,3,0,3,0
3/22/1952,1400,1952,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Near Gaspe, Quebec, Canada",St. Johns,Goose Bay,4,3,1,4,3,1,0
3/22/1952,1045,1952,Douglas/McDonnell Douglas,Weather Related,Landing/Approach,"Frankfurt, Germany",Rome,Frankfort,47,37,10,45,36,9,0
3/24/1952,310,1952,Lockheed,Pilot/Human Error,En route/Cruise,"Near Gao, French West Africa","Gao, FWA","Nice, France",21,18,3,17,14,3,0
3/29/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Near San Felipe, Venezuela",Maiquetia,San Felipe,12,9,3,12,9,3,0
3/30/1952,,1952,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Takeoff/Initial Climb,"Baguio, Philippines",,,29,26,3,10,8,2,0
4/5/1952,825,1952,Other,Mechanical/System Failure,Landing/Approach,"New York, New York","Raliegh, NC","New York, NY",2,0,2,2,0,2,3
4/9/1952,807,1952,Other,Mechanical/System Failure,En route/Cruise,"Mihara Volcano, Japan",Tokyo,Osaka,37,33,4,37,33,4,0
4/10/1952,,1952,Douglas/McDonnell Douglas,"Mechanical/System Failure, Takeoff/Landing Incident",Landing/Approach,"Agartala, India",,,4,0,4,4,0,4,0
4/11/1952,1220,1952,Douglas/McDonnell Douglas,"Mechanical/System Failure, Maintenance Issues, Takeoff/Landing Incident",Takeoff/Initial Climb,"North of San Juan, Puerto Rico",San Juan,New York City,69,64,5,52,52,0,0
4/18/1952,334,1952,Other,Weather Related,Landing/Approach,"Near Whittier, California","Kansas City, MO",Phoenix,29,26,3,29,26,3,0
4/29/1952,440,1952,Boeing,Mechanical/System Failure,Other/Unknown,"Near Carolina, Brazil",Rio de Janeiro,New York City,50,41,9,50,41,9,0
4/30/1952,,1952,Douglas/McDonnell Douglas,"Mechanical/System Failure, Fuel Related",Landing/Approach,"Delhi,  India",Madras,Delhi,9,5,4,9,5,4,0
5/5/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Near Skien, Norway","Amsterdam, Netherlands","Jarsberg, Norway",29,26,3,11,8,3,0
5/9/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Ipoh, Malaysia",,,17,,,17,,,0
5/13/1952,,1952,Douglas/McDonnell Douglas,"Mechanical/System Failure, Maintenance Issues, Takeoff/Landing Incident",Landing/Approach,"Sao Paulo, Brazil",Sao Paulo,Bauru,22,19,3,5,3,2,0
5/24/1952,,1952,Other,"Mechanical/System Failure, Maintenance Issues, Loss of Control In-Flight (LOC-I)",Other/Unknown,"Near Manaus, Brazil",,,6,0,6,6,0,6,0
5/26/1952,845,1952,Other,Takeoff/Landing Incident,Landing/Approach,"Near Atar, Mauritania",Tripoli,Kano,18,10,8,1,0,1,0
6/14/1952,949,1952,Other,Mechanical/System Failure,Other/Unknown,"Near Brighton, East Sussex, England",Croydon,Le Mans,8,7,1,6,5,1,
8/12/1952,,1952,Douglas/McDonnell Douglas,Intentional Act/Attack,Other/Unknown,"Palmeira de Goias, Brazil",Rio Verde,Goiania,24,20,4,24,20,4,0
8/21/1952,100,1952,Other,Mechanical/System Failure,Other/Unknown,"Off Trapani, Italy",Blackbushe,Malta,57,51,6,7,1,6,0
8/29/1952,2105,1952,Douglas/McDonnell Douglas,"Weather Related, Takeoff/Landing Incident, Collision",Landing/Approach,"Kosti, Sudan",Juba,Wadi Halfa,4,0,4,2,0,2,0
9/6/1952,1540,1952,Bombardier/De Havilland,Mechanical/System Failure,On Ground,"Near Farnsborough, England",,,1,0,1,1,0,1,29
9/10/1952,,1952,Other,Other/Undetermined,Unknown,"San Blas, Panama",,,46,,,46,,,0
9/15/1952,,1952,Douglas/McDonnell Douglas,Weather Related,On Ground,"Wadi Halfa, Sudan",,,3,0,3,3,0,3,0
10/5/1952,1602,1952,Ilyushin,Other/Undetermined,Other/Unknown,"Skvoritsy, Russia",Minsk,Leningrad,21,19,5,21,19,5,0
10/14/1952,,1952,Douglas/McDonnell Douglas,Weather Related,On Ground,"San Fransisco do Paula, Brazil",Sao Paulo,Porto Alegre,28,,,14,,,0
11/6/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Lake Chad, Chad",Fort Lamy,Beirut,6,1,5,5,1,4,0
12/6/1952,,1952,Other,Other/Undetermined,En route/Cruise,"Near Sofia, Bugaria",Sofia,Varna,18,,,18,,,0
12/6/1952,440,1952,Douglas/McDonnell Douglas,Other/Undetermined,On Ground,"Off Bermuda-Kindley Field, Bermuda",Madrid,Azores,41,33,8,37,30,7,0
12/21/1952,,1952,Other,Other/Undetermined,Other/Unknown,"Off Miami, Florida",,,3,0,3,3,0,3,0
12/22/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,Unknown,"Damascus, Syria",,,,,,9,,,
12/25/1952,,1952,Douglas/McDonnell Douglas,Other/Undetermined,En route/Cruise,"Off Caracas, Venezuela",,,5,,,3,,,0
12/25/1952,,1952,Douglas/McDonnell Douglas,Takeoff/Landing Incident,Landing/Approach,"Tehran, Iran",Abadan,Tehran,29,25,4,27,23,4,0
1/5/1953,2139,1953,Other,Other/Undetermined,Landing/Approach,"Belfast, Northern Ireland",Northolt,Belfast,35,31,4,27,24,3,0
1/7/1953,2055,1953,Douglas/McDonnell Douglas,"Fire/Smoke Onboard, Collision",Landing/Approach,"Issaquah, Washington",Seattle,Cheyenne,7,3,4,7,3,4,0
1/7/1953,412,1953,Other,Collision,Takeoff/Initial Climb,"Fish Haven, Idaho",Boeing Field,Cheyenne,40,37,3,40,37,3,0
1/26/1953,1144,1953,Douglas/McDonnell Douglas,Other/Undetermined,Other/Unknown,"Sinnai, Sardinia, Italy",Cagliari,Rome,19,15,4,19,15,4,0
2/2/1953,530,1953,Other,Other/Undetermined,Other/Unknown,"Off Newfoundland, Canada","Lajes, Azores",Gander,39,33,6,39,33,6,0
2/3/1953,,1953,Douglas/McDonnell Douglas,Intentional Act/Attack,Other/Unknown,"Lai Chau, Vietnam",,,18,15,3,18,15,3,0
2/7/1953,1028,1953,Douglas/McDonnell Douglas,"Weather Related, Collision",Other/Unknown,"Bordeaux, France",Abidjan,Bordeaux,19,13,6,9,3,6,0
2/14/1953,1710,1953,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Off Mobile, Alabama",Miami,Orlando,46,41,5,46,41,5,0
3/3/1953,335,1953,Bombardier/De Havilland,"Loss of Control In-Flight (LOC-I), Takeoff/Landing Incident",Takeoff/Initial Climb,"Karachi, Pakistan",Karachi,Rangoon,11,6,5,11,6,5,0
3/4/1953,150,1953,Other,"Weather Related, Mechanical/System Failure, Disappearance",Landing/Approach,"Windsor Locks, Connecticut","New York, NY","Winsor Locks, CT",2,0,2,2,0,2,0
3/14/1953,,1953,Other,Weather Related,Landing/Approach,"Kalasahar, India",Delhi,Dacca,16,11,5,16,11,5,0
3/17/1953,,1953,Douglas/McDonnell Douglas,Weather Related,Other/Unknown,"Off Da Nang, Vietnam",Hue,Da Nang,8,,,8,,,0
3/20/1953,1838,1953,Douglas/McDonnell Douglas,"Weather Related, Maintenance Issues, Intentional Act/Attack",On Ground,"Alvarado, California",Roswell,Oakland,35,30,5,35,30,5,0
3/27/1953,,1953,Bombardier/De Havilland,"Mechanical/System Failure, Takeoff/Landing Incident",Takeoff/Initial Climb,"Itapebi, Brazil",,,14,12,2,14,12,2,0
3/29/1953,,1953,Other,"Weather Related, Pilot/Human Error",Other/Unknown,"Mtara, Tanganyika",Nairobi,Dar-es-Salaam,13,8,5,13,8,5,0
4/10/1953,,1953,Other,Other/Undetermined,Unknown,"Near Anchieta Island, Brazil",,,,,,26,,,
4/10/1953,,1953,Other,Mechanical/System Failure,Other/Unknown,"Miandivazo, Madagascar",Miandrivazo,Antananarivo,15,12,3,4,1,3,0
